deftly,skillfully,skillfully,correct
sufficient,enough,enough,correct
fashion,manner,manner,correct
haphazardly,randomly,randomly,correct
uniform,alike,complex,incorrect
situated,positioned,positioned,correct
spot,location,location,correct
hind,rear,hairy,incorrect
bigger,larger,larger,correct
narrow,thin,thin,correct
unmatched,unequaled,unequaled,correct
halfheartedly,apathetically,bipartisanly,incorrect
generally,broadly,broadly,correct
constantly,continually,continually,correct
hailed,acclaimed,remembered,incorrect
costly,expensive,expensive,correct
sustained,prolonged,prolonged,correct
hasten,accelerate,accelerate,correct
consumed,eaten,eaten,correct
