deftly,skillfully,occasionally,incorrect
sufficient,enough,valuable,incorrect
fashion,manner,craze,incorrect
haphazardly,randomly,densely,incorrect
uniform,alike,hard,incorrect
situated,positioned,positioned,correct
spot,location,location,correct
hind,rear,hairy,incorrect
bigger,larger,closer,incorrect
narrow,thin,clear,incorrect
unmatched,unequaled,unrecognized,incorrect
halfheartedly,apathetically,apathetically,guess
generally,broadly,descriptively,incorrect
constantly,continually,instantly,incorrect
hailed,acclaimed,addressed,incorrect
costly,expensive,expensive,correct
sustained,prolonged,prolonged,correct
hasten,accelerate,accelerate,correct
consumed,eaten,eaten,correct
