enormously,tremendously,tremendously,correct
provisions,stipulations,interrelations,incorrect
haphazardly,randomly,densely,incorrect
prominent,conspicuous,ancient,incorrect
zenith,pinnacle,pinnacle,correct
flawed,imperfect,imperfect,correct
urgently,desperately,desperately,correct
consumed,eaten,eaten,correct
advent,coming,coming,correct
concisely,succinctly,succinctly,correct
salutes,greetings,greetings,correct
solitary,alone,fearless,incorrect
hasten,accelerate,accelerate,correct
perseverance,endurance,generosity,incorrect
fanciful,imaginative,imaginative,correct
showed,demonstrated,repeated,incorrect
constantly,continually,instantly,incorrect
issues,subjects,benefits,incorrect
furnish,supply,advise,incorrect
costly,expensive,expensive,correct
recognized,acknowledged,acknowledged,correct
spot,location,location,correct
make,earn,borrow,incorrect
often,frequently,hardly,incorrect
easygoing,relaxed,relaxed,correct
debate,argument,election,incorrect
narrow,thin,clear,incorrect
arranged,planned,discarded,incorrect
infinite,limitless,limitless,correct
showy,striking,incidental,incorrect
levied,imposed,imposed,correct
deftly,skillfully,skillfully,correct
distribute,circulate,commercialize,incorrect
discrepancies,differences,deposits,incorrect
prolific,productive,promising,incorrect
unmatched,unequaled,unrecognized,incorrect
peculiarly,uniquely,patriotically,guess
hue,color,contrast,incorrect
hind,rear,rear,correct
highlight,accentuate,alter,incorrect
hastily,hurriedly,hurriedly,correct
temperate,mild,mild,correct
grin,smile,smile,correct
verbally,orally,orally,correct
physician,doctor,nurse,incorrect
essentially,basically,basically,correct
keen,sharp,useful,incorrect
situated,positioned,positioned,correct
principal,major,major,correct
slowly,gradually,gradually,correct
built,constructed,organized,incorrect
tasks,jobs,materials,incorrect
unlikely,improbable,improbable,correct
halfheartedly,apathetically,bipartisanly,guess
annals,chronicles,chronicles,correct
wildly,furiously,distinctively,incorrect
hailed,acclaimed,addressed,incorrect
command,mastery,mastery,correct
concocted,devised,devised,correct
prospective,potential,prominent,incorrect
generally,broadly,controversially,incorrect
sustained,prolonged,prolonged,correct
perilous,dangerous,binding,incorrect
tranquillity,peacefulness,weariness,incorrect
dissipate,disperse,isolate,incorrect
primarily,chiefly,chiefly,correct
colloquial,conversational,conversational,correct
resolved,settled,settled,correct
feasible,possible,evident,incorrect
expeditiously,rapidly,repeatedly,incorrect
percentage,proportion,profit,incorrect
terminated,ended,evaluated,incorrect
uniform,alike,hard,incorrect
figure,solve,list,incorrect
sufficient,enough,valuable,incorrect
fashion,manner,manner,correct
marketed,sold,diluted,incorrect
bigger,larger,larger,correct
roots,origins,origins,correct
normally,ordinarily,ordinarily,correct
