deftly,skillfully,skillfully,correct
sufficient,enough,enough,correct
fashion,manner,manner,correct
haphazardly,randomly,randomly,correct
uniform,alike,alike,correct
situated,positioned,positioned,correct
spot,location,location,correct
hind,rear,rear,correct
bigger,larger,larger,correct
narrow,thin,thin,correct
unmatched,unequaled,unequaled,correct
halfheartedly,apathetically,apathetically,correct
generally,broadly,broadly,correct
constantly,continually,continually,correct
hailed,acclaimed,remembered,incorrect
costly,expensive,expensive,correct
sustained,prolonged,prolonged,correct
hasten,accelerate,accelerate,correct
consumed,eaten,eaten,correct
