enormously,tremendously,uniquely,incorrect
provisions,stipulations,interrelations,incorrect
haphazardly,randomly,dangerously,incorrect
prominent,conspicuous,ancient,incorrect
zenith,pinnacle,pinnacle,correct
flawed,imperfect,imperfect,correct
urgently,desperately,tentatively,incorrect
consumed,eaten,caught,incorrect
advent,coming,arrest,incorrect
concisely,succinctly,freely,incorrect
salutes,greetings,information,incorrect
solitary,alone,restless,incorrect
hasten,accelerate,permit,incorrect
perseverance,endurance,endurance,correct
fanciful,imaginative,familiar,incorrect
showed,demonstrated,repeated,incorrect
constantly,continually,continually,correct
issues,subjects,training,incorrect
furnish,supply,protect,incorrect
costly,expensive,beautiful,incorrect
recognized,acknowledged,successful,incorrect
spot,location,sea,incorrect
make,earn,trade,incorrect
often,frequently,definitely,incorrect
easygoing,relaxed,boring,incorrect
debate,argument,election,incorrect
narrow,thin,freezing,incorrect
arranged,planned,studied,incorrect
infinite,limitless,limitless,correct
showy,striking,striking,correct
levied,imposed,requested,incorrect
deftly,skillfully,occasionally,incorrect
distribute,circulate,commercialize,incorrect
discrepancies,differences,weights,incorrect
prolific,productive,capable,incorrect
unmatched,unequaled,unrecognized,incorrect
peculiarly,uniquely,patriotically,incorrect
hue,color,color,correct
hind,rear,muscular,incorrect
highlight,accentuate,accentuate,correct
hastily,hurriedly,habitually,incorrect
temperate,mild,cold,incorrect
grin,smile,joke,incorrect
verbally,orally,overtly,incorrect
physician,doctor,chemist,incorrect
essentially,basically,basically,correct
keen,sharp,useful,incorrect
situated,positioned,emptying,incorrect
principal,major,major,correct
slowly,gradually,effectively,incorrect
built,constructed,constructed,correct
tasks,jobs,shops,incorrect
unlikely,improbable,improbable,correct
halfheartedly,apathetically,bipartisanly,incorrect
annals,chronicles,trails,incorrect
wildly,furiously,mysteriously,incorrect
hailed,acclaimed,remembered,incorrect
command,mastery,love,incorrect
concocted,devised,cleaned,incorrect
prospective,potential,prudent,incorrect
generally,broadly,controversially,incorrect
sustained,prolonged,prolonged,correct
perilous,dangerous,offensive,incorrect
tranquillity,peacefulness,harshness,incorrect
dissipate,disperse,disguise,incorrect
primarily,chiefly,cautiously,incorrect
colloquial,conversational,incorrect,incorrect
resolved,settled,publicized,incorrect
feasible,possible,possible,correct
expeditiously,rapidly,frequently,incorrect
percentage,proportion,proportion,correct
terminated,ended,ended,correct
uniform,alike,alike,correct
figure,solve,divide,incorrect
sufficient,enough,recent,incorrect
fashion,manner,craze,incorrect
marketed,sold,sweetened,incorrect
bigger,larger,larger,correct
roots,origins,rituals,incorrect
normally,ordinarily,ordinarily,correct
