deftly,skillfully,skillfully,correct
sufficient,enough,physiological,incorrect
fashion,manner,fathom,incorrect
haphazardly,randomly,randomly,correct
uniform,alike,complex,incorrect
situated,positioned,emptying,incorrect
spot,location,latitude,incorrect
hind,rear,muscular,incorrect
bigger,larger,closer,incorrect
narrow,thin,freezing,incorrect
unmatched,unequaled,unrecognized,incorrect
halfheartedly,apathetically,apathetically,correct
generally,broadly,descriptively,incorrect
constantly,continually,rapidly,incorrect
hailed,acclaimed,acclaimed,correct
costly,expensive,expensive,correct
sustained,prolonged,prolonged,correct
hasten,accelerate,determine,incorrect
consumed,eaten,bred,incorrect
